2025_03_20_08:50,1.569
2025_03_20_08:51,1.52
2025_03_20_08:52,1.461
2025_03_20_08:53,0.241
2025_03_20_08:55,0.087
2025_03_20_08:56,0.127
2025_03_20_08:58,0.104
2025_03_20_08:59,0.142
2025_03_20_09:00,0.226
2025_03_20_09:01,0.288
2025_03_20_09:02,0.025
2025_03_20_09:03,-0.09
2025_03_20_09:04,-0.129
2025_03_20_09:05,-0.146
2025_03_20_09:06,-0.194
2025_03_20_09:08,-0.203
2025_03_20_09:09,-0.235
2025_03_20_09:10,-0.239
2025_03_20_09:11,-0.244
2025_03_20_09:12,-0.182
2025_03_20_09:13,-0.164
2025_03_20_09:14,0.0
2025_03_20_09:15,0.073
2025_03_20_09:17,0.162
2025_03_20_09:18,0.251
2025_03_20_09:19,0.357
2025_03_20_09:19,0.393
2025_03_20_09:20,0.396
2025_03_20_09:21,0.494
2025_03_20_09:23,0.595
2025_03_20_09:24,0.723
2025_03_20_09:25,0.77
2025_03_20_09:26,0.818
2025_03_20_09:27,0.831
2025_03_20_09:28,0.928
2025_03_20_09:29,0.978
2025_03_20_09:30,1.015
2025_03_20_09:31,1.076
2025_03_20_09:32,1.095
2025_03_20_09:33,1.166
2025_03_20_09:34,1.218
2025_03_20_09:35,1.215
2025_03_20_09:36,1.279
2025_03_20_09:37,1.319
2025_03_20_09:39,1.316
2025_03_20_09:40,1.33
2025_03_20_09:41,1.342
2025_03_20_09:42,1.352
